body,url
"Уважаемые студенты!⛅
Приглашаем вас принять участие в викторине ""Наука и изобретения""🚲

💭В рамках проекта ""Россия - это Я"" отдел поддержки молодежных инициатив приглашает обучающихся нашего Университета на интеллектуально-патриотическую викторину ""Наука и изобретения"".

📝Формат мероприятия - ""Своя игра"". Викторина состоит из нескольких раундов, в которых команда от 5 человек по очереди выбирают категорию и стоимость вопроса. В финале вопроса подводятся итоги и объявляется победитель. 

✍Цель игры - изучение культурного наследия России, углубление и популяризация знаний об отдельных отраслях отечественной культуры, науки, географии, искусства и др.

📍Мероприятие состоится 27 сентября в 15:00 по адресу: ПМК ""Романтика"" (Бухарестская улица, дом 74).

#РГГМУ #RSHU #Гидромет",https://sun9-38.userapi.com/impg/a-j4oUc0e5VPi1K8-IeE4MgBj9E6FRwnbBx6uA/u-ELazLzhaM.jpg?size=1280x1280&quality=96&sign=67dc66288354bd21b386aa8975dcdf91&c_uniq_tag=lPwzNhw8KpjAlHaBmq3hNUcwKFT2DDERoTBTyVo1zTY&type=album
"🌄Продолжается приём заявок на Первый Всероссийский юношеский конкурс «ТурКор»🌄
 
💬Цель ""ТурКора"" - является формирование медиабанка туристских ресурсов регионов России, вовлечение молодого поколения в поиск новых интересных мест и объектов своего региона для формирования его туристской привлекательности, а также поддержка молодых медиаталантов.
 
Предметом конкурса являются региональные Объекты туристического интереса, представить которые можно в трех номинациях: 
 
🌱«Создано Природой» 
 
🗼«Создано Человеком» 
 
❤«Создано с любовью» 
 
Прояви творческую свободу в одном из направлений: фоторепортаж, видеорепортаж, эссе.

📝Заявку можно подать через официальный сайт конкурса: https://konkurs.kanikuli. до 30 сентября 2023 года. 
 
🏆Победителей и финалистов конкурса ждет обучение в медиашколе, мастер-классы от ведущих экспертов, путешествие, а также возможность стать участником профессионального пресс-тура по одному из регионов страны!

Подробная информация о номинациях и условиях участия в конкурсе: https://konkurs.kanikuli.

#РГГМУ #RSHU #Гидромет",https://sun9-48.userapi.com/impg/To01QLfYj9NgC32Nk43DlCeDxkQ8luiVTxBQIQ/3jYBNpfrXsQ.jpg?size=800x800&quality=96&sign=2bfe3440109302b6e22d7ee1e12cb997&c_uniq_tag=4mnsdyHHhlag5a3GP08mPAbUyRUG34CbASOVlZJStOU&type=album
"25 сентября – значимая дата для Университета.
Президенту РГГМУ Артуру Николаевичу Чилингарову исполняется 84 года. 
 
 От имени ректората, работников и обучающихся Российского государственного гидрометеорологического университета поздравляем президента РГГМУ Артура Николаевича с днем рождения! 
 Яркая, полная неиссякаемого оптимизма и любви к Родине, жизнь и работа Артура Николаевича вдохновляют молодых ученых, что способствует процветанию и благополучию российской науки и образования. 

 Благодарим за многолетнее сотрудничество и неоценимый вклад в развитие Университета.
 
 Желаем крепкого здоровья, семейного благополучия, профессиональных успехов и уверены в дальнейшем плодотворном сотрудничестве!

#РГГМУ #RSHU #Гидромет",https://sun9-64.userapi.com/impg/_-C3adKKRjeS3zzHY-8dMj1R3GDVbypZyaVEfg/itx4Bvdfz7I.jpg?size=400x500&quality=96&sign=33f781c9b320cc8b32afcd4fdc1f4f26&c_uniq_tag=JHRgdAYrfGClweEBqY72CtZBlNLN9QXqWVZZYwvAyUU&type=album
"🔊Стань частью программы развития молодежного предпринимательства ""Я В ДЕЛЕ""🔊

🗣[https://vk.com/yavde1e|«Я В ДЕЛЕ»] — это просветительская программа, которая реализуется в 72-ух регионах России. Главная миссия — развитие молодежного предпринимательства.

В рамках программы тебя ждут:
⚡️Встречи с опытными спикерами 
⚡️Развитая система наставничества и нетворкинга
⚡Обратная связь от опытных предпринимателей 
⚡Полезная теория и интересная практика
⚡️ Возможность стать частью крутого сообщества
 ⚡Единомышленники в сфере бизнеса и проектирования

📍Если ты активный, тебе интересно создавать свои проекты и получать знания на практике, то заполняй анкету по ссылке: : https://vk.com/app5619682_-210144042#622113

В рамках проекта ""Я В ДЕЛЕ"" пройдет:

👆БОЛЬШОЙ ПРЕДПРИНИМАТЕЛЬСКИЙ ТУРНИР — масштабная обучающая игра, которая проводится для студентов ВУЗов.

В рамках ИГРЫ ты сможешь:
— углубиться в тематику бизнеса и проектирования; 
— прокачать навыки командной работы; 
— познакомиться с новым заряженным окружением.
📝Регистрация: https://явделе.рф/bpt/vuz 

Больше информации на официальном сайте проекта: https://явделе.рф/
 
🤝Присоединяйся к нам, будь ""В ДЕЛЕ""!🤝

#РГГМУ #RSHU #Гидромет",https://sun9-56.userapi.com/impg/tzInJTXUmh-dDfJEZx8PhfJV1rDeqdtzmfybkQ/Hfz9RpWjtQo.jpg?size=1280x1280&quality=96&sign=0f5722fb924930bb4ec094cf249e8cff&c_uniq_tag=AeZb1JN-H1d3Dlf4dFuZCg6ezdru3F0w1PRgRePnp7c&type=album
"Друзья, приглашаем вас стать участниками одного из самых ожидаемых студенческих мероприятий осени, которое подготовили [club200626493|СНО РГГМУ] и [club198616849|Интеллектуальный клуб «Порт»] ☺",https://sun9-56.userapi.com/impg/tzInJTXUmh-dDfJEZx8PhfJV1rDeqdtzmfybkQ/Hfz9RpWjtQo.jpg?size=1280x1280&quality=96&sign=0f5722fb924930bb4ec094cf249e8cff&c_uniq_tag=AeZb1JN-H1d3Dlf4dFuZCg6ezdru3F0w1PRgRePnp7c&type=album
"🔊Успей подать заявку на Всероссийский конкурс на лучшую практику студенческого самоуправления в общежитиях образовательных организаций высшего образования!

Номинации конкурса:

✅""Лучший студенческий совет общежития""
✅""Лучшая система информационной работы""
✅""Лучшая практика в сфере социально-правовой защиты обучающихся""
✅""Лучшая практика в сфере организации студенческого досуга и культурно-массовой работы""
✅""Лучшая практика в сфере развития гражданственности и патриотизма обучающихся""

👥К участию в конкурсе допускаются студенческие объединения общежитий в составе до 10 представителей от объединения.
 
🗓 Заявки принимаются до 25 сентября 2023 года включительно на эл. адрес: sso-oovo@yandex.ru.

📍Мероприятие проводится Минобрнауки России совместно с ФГБОУ ВО «Смоленский государственный университет» в целях развития органов студенческого самоуправления общежитий вузов.
🤝 Партнер конкурса - СКС Профсоюза

👇Более подробную информацию об условиях участия в конкурсе, а также необходимых документах для формирования заявки, смотрите в положении конкурса ниже:
 
Желаем удачи!

#РГГМУ #RSHU #Гидромет","https://sun9-77.userapi.com/impg/M0733VFNSHIDaRymFe296_q3pfyC5n1WWR-zxA/a2eQHeLihh0.jpg?size=510x340&quality=95&crop=228,0,823,549&sign=8eabd9db276e2c52fefd9623532b535b&c_uniq_tag=j0DzaenNF99IJyH90qvzFTGc6VQ_4C3dqgjcrceMCto&type=album"
"🔊Стартовал ежегодный Международный молодежный конкурс социальной антикоррупционной рекламы «Вместе против коррупции!»
 
👆В этом году конкурс организован под эгидой Межгосударственного совета по противодействию коррупции. 

📍 В конкурсе могут принимать участие авторы от 14 до 35 лет. Тема работ: «Вместе против коррупции!», в которой должны быть отражены идеи и представления о борьбе с коррупцией, а также роль и значение международного сотрудничества в данном направлении. 
 
Прием работ осуществляется до 1 октября 2023 года на официальном сайте конкурса www.anticorruption.life в двух номинациях:
✅«Лучший плакат» 
✅«Лучший видеоролик»
 
👆С более подробными правилами проведения конкурса можно ознакомиться на сайте конкурса:www.anticorruption.life
 
🎉Итоги конкурса будут подведены в Международный день борьбы с коррупцией - 9 декабря.

Желаем удачи!

#РГГМУ #RSHU #Гидромет",https://sun9-78.userapi.com/impg/wPyj_0H-0TFbHlb6uq8wz2MpXLt19CVQHZ9Myw/bHkFGcXf_Go.jpg?size=742x750&quality=96&sign=c7d4fb22ae84a3f949266343f06ff8c5&c_uniq_tag=G0S0N5j7WtLrP3npJI0YDRW_zkqSSyn4Hi_vLJnDLMo&type=album
"💥ОТБОРОЧНЫЙ ЭТАП СМОТРА-КОНКУРСА ТВОРЧЕСТВА ПЕРВОКУРСНИКОВ ""ГИДРОСТАРТ""!💥

💃Песни выучены, танцы отрепетированы...а это значит, что совсем скоро состоится самое творческое мероприятие этой осени: ""Смотр-конкурс ГидростАрт. Отборочный этап""!

💯Самые талантливые студенты, самые яркие впечатления,самые крутые номинации!

💫Вокал всех видов и жанров; 
💫Хореография всех видов и жанров; 
💫Художественное слово; 
💫Инструментальная музыка; 
💫Оригинальный жанр; 
💫Лучшие ведущие; 
💫Лучшая концертная программа.

📆Когда:25 сентября
🏛Где: Актовый зал, Малоохтинский пр.98
⏰Начало в 17:00

Итоги конкурса будут оглашены на гала концерте, который состоится 
28 сентября в 18 00!

💥Твой СтАрт начинается здесь!💥

#РГГМУ #RSHU #Гидромет #Гидростарт",https://sun9-1.userapi.com/impg/A2beJa1oT0frtqc5DxR179-di2PTY9H0u-UKgQ/Pq_hjS3i3Rk.jpg?size=714x807&quality=96&sign=71a7d2e2dbc1d96941052741f4294606&c_uniq_tag=8ArGzqa4AxaRlxckH63oCRvsNgJ4-TqaPTzYK2A-GP4&type=album
,https://sun9-1.userapi.com/impg/A2beJa1oT0frtqc5DxR179-di2PTY9H0u-UKgQ/Pq_hjS3i3Rk.jpg?size=714x807&quality=96&sign=71a7d2e2dbc1d96941052741f4294606&c_uniq_tag=8ArGzqa4AxaRlxckH63oCRvsNgJ4-TqaPTzYK2A-GP4&type=album
"🔊НАЦИОНАЛЬНАЯ ТЕХНОЛОГИЧЕСКАЯ ОЛИМПИАДА (НТО). ТРЕК ""ЦИФРОВАЯ ГИДРОМЕТЕОРОЛОГИЯ""🔊

👆Ежегодно Национальная технологическая олимпиада (НТО) проводит отбор заявок на открытие новых профилей школьного и студенческого треков, который помогает выявить лучших организаторов инженерных соревнований со всей России!

👆По итогам открытого конкурса новых соревновательных направлений в рамках школьного трека (НТО) для учащихся 8-11 классов в 2023/2024 учебном году запустился трек Цифровая гидрометеорология,
организатором которого выступает Российский государственный гидрометеорологический университет.

🤝Партнеры профиля ЗАО ""Институт телекоммуникаций"", Санкт-Петербургский губернаторский физико-математический лицей № 30, Дом Молодежи Квадрат.

❗Первый отборочный этап НТО-23/24 стартовал 5 сентября 2023 года.
ФИНАЛ пройдет с 19 по 24 февраля 2024.

📝Регистрация доступна по ссылке: https://ntcontest.ru/digital-meteo/ 📝

#РГГМУ #Гидромет #RSHU #НТО #НТОлимпиада",https://sun9-1.userapi.com/impg/A2beJa1oT0frtqc5DxR179-di2PTY9H0u-UKgQ/Pq_hjS3i3Rk.jpg?size=714x807&quality=96&sign=71a7d2e2dbc1d96941052741f4294606&c_uniq_tag=8ArGzqa4AxaRlxckH63oCRvsNgJ4-TqaPTzYK2A-GP4&type=album
